station_id,lon,lat
1,-16.376,12.792
2,-16.376,14.209
3,-16.376,15.625
4,-14.959,11.375
5,-14.959,12.792
6,-14.959,14.209
7,-14.959,15.625
8,-14.959,17.042
9,-13.542,9.959
10,-13.542,11.375
11,-13.542,12.792
12,-13.542,14.209
13,-13.542,15.625
14,-13.542,17.042
15,-13.542,19.875
16,-12.126,8.542
17,-12.126,9.959
18,-12.126,11.375
19,-12.126,12.792
20,-12.126,14.209
21,-12.126,15.625
22,-12.126,17.042
23,-12.126,18.459
24,-12.126,19.875
25,-12.126,21.292
26,-10.709,7.125
27,-10.709,8.542
28,-10.709,9.959
29,-10.709,11.375
30,-10.709,12.792
31,-10.709,14.209
32,-10.709,15.625
33,-9.292,5.709
34,-9.292,7.125
35,-9.292,8.542
36,-9.292,9.959
37,-9.292,11.375
38,-9.292,12.792
39,-9.292,14.209
40,-9.292,15.625
41,-7.876,5.709
42,-7.876,7.125
43,-7.876,8.542
44,-7.876,9.959
45,-7.876,11.375
46,-7.876,12.792
47,-7.876,14.209
48,-7.876,15.625
49,-6.459,5.709
50,-6.459,7.125
51,-6.459,8.542
52,-6.459,9.959
53,-6.459,11.375
54,-6.459,12.792
55,-6.459,14.209
56,-6.459,15.625
57,-5.042,5.709
58,-5.042,7.125
59,-5.042,8.542
60,-5.042,9.959
61,-5.042,11.375
62,-5.042,12.792
63,-5.042,14.209
64,-5.042,15.625
65,-3.626,5.709
66,-3.626,7.125
67,-3.626,8.542
68,-3.626,9.959
69,-3.626,11.375
70,-3.626,12.792
71,-3.626,14.209
72,-3.626,15.625
73,-3.626,17.042
74,-2.209,5.709
75,-2.209,7.125
76,-2.209,8.542
77,-2.209,9.959
78,-2.209,11.375
79,-2.209,12.792
80,-2.209,14.209
81,-2.209,17.042
82,-0.792,5.709
83,-0.792,7.125
84,-0.792,8.542
85,-0.792,9.959
86,-0.792,11.375
87,-0.792,12.792
88,-0.792,14.209
89,-0.792,15.625
90,-0.792,17.042
91,0.624,7.125
92,0.624,8.542
93,0.624,9.959
